iter	Passed	Remaining
239	810	2568
240	812	2559
241	817	2559
242	818	2551
243	820	2542
244	823	2536
245	824	2528
246	826	2519
247	828	2513
248	830	2504
249	832	2496
250	833	2488
251	835	2480
252	837	2472
253	839	2465
254	841	2457
255	842	2447
256	843	2439
257	846	2433
258	848	2426
259	849	2419
260	851	2411
261	853	2403
262	857	2402
263	860	2399
264	863	2395
265	867	2393
266	868	2384
267	870	2376
268	871	2369
269	874	2364
270	876	2356
271	881	2358
272	884	2355
273	885	2345
274	886	2337
275	888	2331
276	890	2323
277	892	2316
278	893	2309
279	895	2302
280	897	2296
281	899	2289
282	900	2282
283	902	2274
284	903	2267
285	905	2260
286	909	2258
287	910	2251
288	912	2244
289	914	2239
290	915	2231
291	917	2224
292	918	2216
293	920	2210
294	923	2206
295	924	2199
296	926	2193
297	927	2185
298	930	2180
299	931	2174
300	933	2167
301	936	2163
302	938	2157
303	939	2151
304	941	2144
305	943	2138
306	944	2132
307	946	2126
308	948	2120
309	949	2114
310	951	2108
311	953	2102
312	955	2096
313	956	2090
314	958	2084
315	961	2081
316	963	2075
317	964	2069
318	967	2064
319	968	2058
320	970	2052
321	971	2046
322	973	2041
323	975	2034
324	977	2030
325	979	2025
326	981	2019
327	983	2013
328	984	2008
329	985	2001
330	987	1995
331	992	1997
332	994	1991
333	996	1986
334	997	1980
335	999	1974
336	1000	1968
337	1002	1963
338	1003	1957
339	1005	1951
340	1007	1946
341	1008	1939
342	1009	1934
343	1013	1932
344	1014	1926
345	1016	1921
346	1018	1916
347	1020	1912
348	1023	1908
349	1027	1908
350	1029	1903
351	1031	1899
352	1033	1893
353	1035	1890
354	1037	1884
355	1038	1878
356	1040	1874
357	1042	1869
358	1044	1864
359	1045	1859
360	1047	1854
361	1050	1851
362	1052	1846
363	1054	1841
364	1055	1836
365	1057	1831
366	1061	1830
367	1064	1827
368	1066	1823
369	1071	1823
370	1073	1819
371	1079	1821
372	1083	1820
373	1084	1815
374	1086	1810
375	1103	1831
376	1105	1826
377	1114	1833
378	1115	1827
379	1116	1822
380	1118	1817
381	1128	1826
382	1131	1822
383	1132	1817
384	1134	1811
385	1148	1826
386	1150	1822
387	1155	1822
388	1156	1816
389	1168	1828
390	1170	1823
391	1172	1818
392	1177	1819
393	1179	1813
394	1180	1808
395	1182	1803
396	1184	1798
397	1185	1793
398	1195	1800
399	1196	1795
400	1200	1793
401	1203	1789
402	1207	1789
403	1209	1783
404	1210	1778
405	1213	1775
406	1215	1770
407	1222	1773
408	1228	1774
409	1232	1774
410	1234	1769
411	1239	1768
412	1240	1763
413	1241	1757
414	1247	1758
415	1249	1753
416	1251	1749
417	1252	1744
418	1254	1739
419	1256	1734
420	1257	1729
421	1264	1731
422	1265	1726
423	1269	1725
424	1271	1720
425	1273	1715
426	1276	1713
427	1286	1719
428	1290	1717
429	1291	1712
430	1293	1707
431	1294	1702
432	1296	1697
433	1300	1695
434	1301	1689
435	1302	1685
436	1304	1680
437	1305	1675
438	1312	1677
439	1314	1672
