iter	Passed	Remaining
143	546	3249
144	548	3231
145	551	3227
146	552	3208
147	554	3192
148	556	3175
149	557	3158
150	558	3142
151	561	3131
152	562	3116
153	564	3099
154	566	3085
155	569	3078
156	572	3076
157	575	3067
158	578	3059
159	581	3051
160	584	3043
161	585	3028
162	589	3027
163	592	3018
164	595	3014
165	597	2999
166	599	2992
167	602	2984
168	603	2969
169	605	2956
170	607	2942
171	609	2933
172	613	2930
173	614	2919
174	616	2906
175	617	2890
176	618	2876
177	619	2862
178	621	2850
179	622	2837
180	624	2826
181	627	2819
182	628	2807
183	630	2796
184	632	2784
185	632	2770
186	634	2758
187	635	2745
188	637	2734
189	638	2722
190	639	2710
191	641	2698
192	642	2686
193	644	2677
194	646	2670
195	648	2659
196	650	2651
197	652	2642
198	653	2630
199	654	2619
200	655	2605
201	656	2592
202	657	2582
203	659	2573
204	661	2564
205	664	2559
206	664	2545
207	666	2538
208	668	2529
209	670	2520
210	671	2510
211	674	2508
212	676	2499
213	677	2489
214	679	2479
215	680	2469
216	681	2460
217	683	2450
218	684	2441
219	685	2431
220	687	2423
221	688	2414
222	690	2405
223	692	2399
224	694	2393
225	695	2383
226	697	2375
227	699	2366
228	700	2359
229	702	2351
230	703	2343
231	705	2334
232	707	2327
233	708	2318
234	710	2313
235	714	2314
236	716	2307
237	718	2298
238	719	2290
239	720	2281
240	721	2273
241	723	2267
242	725	2259
243	727	2253
244	730	2251
245	732	2243
246	733	2236
247	734	2226
248	736	2221
249	737	2213
250	739	2206
251	740	2198
252	742	2192
253	743	2184
254	745	2179
255	747	2172
256	749	2166
257	750	2159
258	752	2151
259	753	2145
260	756	2142
261	765	2156
262	769	2155
263	770	2149
264	773	2144
265	774	2137
266	777	2133
267	778	2126
268	780	2120
269	782	2115
270	784	2110
271	785	2103
272	787	2096
273	789	2092
274	792	2089
275	794	2084
276	795	2076
277	797	2071
278	798	2064
279	801	2060
280	802	2052
281	805	2050
282	808	2048
283	810	2043
284	811	2037
285	815	2036
286	817	2030
287	818	2023
288	820	2017
289	821	2012
290	824	2008
291	825	2001
292	828	1999
293	830	1994
294	833	1991
295	834	1983
296	835	1977
297	837	1971
298	838	1966
299	840	1960
300	841	1955
301	843	1949
302	845	1944
303	847	1939
304	848	1934
305	851	1930
306	852	1925
307	854	1919
308	858	1919
309	859	1913
310	861	1908
311	862	1902
312	864	1897
313	866	1892
314	867	1886
315	869	1881
316	870	1875
317	871	1868
318	872	1862
319	873	1856
320	875	1850
321	876	1845
322	877	1838
323	878	1833
324	879	1827
325	880	1821
326	882	1815
327	883	1809
328	884	1804
329	886	1799
330	887	1794
331	889	1789
332	891	1785
333	892	1779
334	894	1774
335	895	1770
336	897	1765
337	898	1758
338	900	1755
339	902	1751
340	904	1747
341	905	1741
342	907	1737
343	908	1732
344	910	1727
345	912	1724
346	913	1719
347	916	1716
348	917	1711
349	919	1707
350	922	1704
351	924	1702
352	926	1698
353	928	1693
354	929	1689
355	932	1686
356	933	1681
357	934	1676
358	936	1671
359	937	1667
360	938	1662
361	941	1659
362	944	1656
363	945	1652
364	947	1647
365	949	1644
366	952	1643
367	953	1636
368	955	1633
369	957	1629
370	958	1625
371	959	1620
372	961	1615
373	963	1612
374	964	1608
375	966	1603
376	968	1600
377	970	1596
378	971	1592
379	973	1587
380	974	1583
381	976	1579
382	978	1576
383	980	1572
384	982	1569
385	985	1566
386	988	1566
387	990	1562
388	991	1557
389	993	1553
390	994	1549
391	996	1545
392	997	1541
393	1001	1540
394	1003	1536
395	1004	1532
396	1006	1528
397	1012	1530
398	1015	1529
399	1017	1526
400	1019	1522
401	1020	1517
402	1021	1513
403	1022	1509
404	1024	1504
405	1026	1501
406	1027	1496
407	1029	1493
408	1030	1489
409	1034	1488
410	1035	1484
411	1037	1480
412	1039	1477
413	1042	1475
414	1044	1471
415	1045	1468
416	1047	1464
417	1048	1460
418	1050	1456
419	1052	1452
420	1053	1449
421	1055	1445
422	1056	1441
423	1058	1438
424	1060	1434
425	1063	1432
426	1065	1429
427	1067	1426
428	1069	1423
429	1072	1421
430	1073	1417
431	1075	1413
432	1077	1410
433	1078	1406
434	1080	1402
435	1081	1398
436	1082	1395
437	1084	1391
438	1085	1387
439	1086	1383
440	1087	1378
441	1089	1375
442	1090	1371
443	1092	1367
444	1094	1364
445	1095	1361
446	1097	1357
